domain,type,language,in_list_chatgpt,in_list_hbi,in_list_scharkow,in_list_stier,in_list_w3news
10tv.com,commercial broadcaster,NA,FALSE,FALSE,FALSE,TRUE,FALSE
19vierundachtzig.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
20min.ch,legacy press,de,FALSE,FALSE,FALSE,TRUE,FALSE
20minutes.fr,tabloid newspaper,fr,FALSE,FALSE,FALSE,TRUE,FALSE
20minutos.es,tabloid newspaper,es,FALSE,FALSE,FALSE,TRUE,FALSE
20mn.fr,tabloid newspaper,NA,FALSE,FALSE,FALSE,TRUE,FALSE
24chasa.bg,legacy press,bg,TRUE,FALSE,FALSE,FALSE,FALSE
24economia.com,digital-born news outlet,it,FALSE,FALSE,FALSE,TRUE,FALSE
24rhein.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
24vest.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
3sat.de,public broadcaster,de,FALSE,FALSE,FALSE,TRUE,FALSE
6abc.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
a-beig.de,legacy press,de,FALSE,FALSE,FALSE,TRUE,FALSE
aachener-nachrichten.de,legacy press,de,FALSE,TRUE,FALSE,TRUE,TRUE
aachener-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
abc.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
abc.net.au,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abc13.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abc15.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abc7.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abc7chicago.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abc7ny.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abcactionnews.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abcn.ws,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
abendblatt.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
abendblatt.de/hamburg/bergedorf,legacy press,de,FALSE,FALSE,FALSE,FALSE,TRUE
abendzeitung-muenchen.de,tabloid newspaper,de,FALSE,TRUE,FALSE,TRUE,TRUE
abgeordneten-check.de,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
achgut.com,hyperpartisan news,de,FALSE,FALSE,FALSE,TRUE,FALSE
actu.fr,legacy press,fr,FALSE,FALSE,FALSE,TRUE,FALSE
actu.orange.fr,portal,NA,NA,NA,NA,NA,NA
actualites-la-croix.com,legacy press,ja,FALSE,FALSE,FALSE,TRUE,FALSE
actuall.com,hyperpartisan news,es,FALSE,FALSE,FALSE,TRUE,FALSE
ad.nl,tabloid newspaper,it,TRUE,FALSE,FALSE,FALSE,FALSE
adevarul.ro,legacy press,ro,TRUE,FALSE,FALSE,FALSE,FALSE
adnkronos.com,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
aerotelegraph.com,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
aerztezeitung.de,legacy press,de,TRUE,TRUE,FALSE,FALSE,TRUE
affaritaliani.it,digital-born news outlet,en,FALSE,FALSE,FALSE,TRUE,FALSE
agoravox.fr,digital-born news outlet,fr,FALSE,FALSE,FALSE,TRUE,FALSE
aichacher-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,FALSE
aichacher-zeitung.de/vorort,legacy press,de,FALSE,FALSE,FALSE,FALSE,TRUE
aktiv-online.de,legacy press,de,FALSE,FALSE,FALSE,FALSE,TRUE
alertadigital.com,hyperpartisan news,es,FALSE,FALSE,FALSE,TRUE,FALSE
alexander-wallasch.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
alfelder-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
aljazeera.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
aljazeera.net,commercial broadcaster,ar,FALSE,FALSE,FALSE,FALSE,FALSE
all-in.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,TRUE
alles-schallundrauch.blogspot.com,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
allgaeuer-anzeigeblatt.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
allgaeuer-zeitung.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
allgemeine-zeitung.de,tabloid newspaper,de,TRUE,TRUE,TRUE,FALSE,FALSE
alpenschau.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
altermannblog.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
altkreisblitz.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
