domain,status_code,status_description
de.wikipedia.org,200,OK
rnd.de,200,OK
reuters.com,200,OK
tagesschau.de,200,OK
ndr.de,200,OK
deutschlandfunk.de,200,OK
deutsche-handwerks-zeitung.de,200,OK
n-tv.de,200,OK
ft.com,200,OK
stimme.de,200,OK
apnews.com,200,OK
zdf.de,200,OK
zeit.de,200,OK
news-pravda.com,200,OK
news.de,200,OK
faz.net,200,OK
merkur.de,200,OK
donaukurier.de,200,OK
bundesregierung.de,200,OK
elpais.com,200,OK
stern.de,200,OK
spiegel.de,200,OK
sueddeutsche.de,200,OK
morgenpost.de,200,OK
mdr.de,200,OK
fr.de,200,OK
welt.de,200,OK
tagesspiegel.de,200,OK
t-online.de,200,OK
swr.de,200,OK
rbb24.de,200,OK
berlin.de,403,Forbidden
bundestag.de,200,OK
bpb.de,200,OK
www1.wdr.de,200,OK
buerger-geld.org,200,OK
europa-mai.de,200,OK
upday.com,200,OK
lemonde.fr,200,OK
web.de,200,OK
br.de,200,OK
stuttgarter-nachrichten.de,200,OK
cadenaser.com,200,OK
hna.de,200,OK
bundeswahlleiterin.de,200,OK
kuriose-feiertage.de,200,OK
augsburger-allgemeine.de,200,OK
taz.de,200,OK
finanznachrichten.de,200,OK
learngerman.dw.com,200,OK
huffingtonpost.es,200,OK
de.euronews.com,200,OK
en.wikipedia.org,200,OK
deutsche-wirtschafts-nachrichten.de,200,OK
it-boltwise.de,200,OK
derstandard.de,200,OK
bild.de,200,OK
wiwa-lokal.de,200,OK
investmentweek.com,200,OK
dw.com,200,OK
termine.de,200,OK
heise.de,200,OK
srf.ch,200,OK
wirtschaftsdienst.eu,200,OK
ihk.de,,
focus.de,200,OK
vorreiter-zeitung.de,403,Forbidden
lmy.de,200,OK
kultus.hessen.de,200,OK
cdu.de,200,OK
echo24.de,200,OK
stuttgarter-zeitung.de,200,OK
museum-karlshorst.de,200,OK
ard.de,200,OK
finanzen.net,200,OK
nachrichten-ag.com,200,OK
hasepost.de,200,OK
kulturprojekte.berlin,200,OK
evangelisch.de,200,OK
bundeskanzler.de,200,OK
onvista.de,200,OK
hanfverband.de,200,OK
infranken.de,200,OK
ln-online.de,200,OK
de.marketscreener.com,200,OK
fes.de,,
verbraucherzentrale.de,200,OK
ariva.de,200,OK
