"domain","visits_global","country_rank","industry_rank","original_rank_news_media","rank_similarweb","traffic_share_germany","country","category_similarweb","visits_germany","note"
"bild.de",188.8,14,29,1,1,0.8761,"Germany","news_and_media",165.40768,"This list contains a modified top 100 for the category ""news and media"" according to similarweb.com in June 2025. The Top 100 was slightly modified by the authors with two entries excluded (kachelmannwetter.de, wunderweib.de) and 16 entries added (mainly finance news, news portals such as gmx.net and web.de and websites of public broadcasters that all also contain news). Visits in millions. Industry rank is the global rank of the website for the given industry category. All content according to similarweb.com."
"t-online.de",150.9,8,26,2,2,0.9571,"Germany","news_and_media",144.42639,NA
"n-tv.de",134.2,20,48,3,3,0.931,"Germany","news_and_media",124.9402,NA
"web.de",90.55,16,3,NA,4,0.9732,"Germany","email",88.12326,NA
"tagesschau.de",81.64,30,86,4,5,0.878,"Germany","news_and_media",71.67992,NA
"welt.de",71.18,45,129,5,6,0.8972,"Germany","news_and_media",63.862696,NA
"yahoo.com",2981,7,2,6,7,0.0209,"USA","news_and_media",62.3029,NA
"spiegel.de",72.6,44,118,7,8,0.8368,"Germany","news_and_media",60.75168,NA
"gmx.net",68.92,24,4,NA,9,0.8135,"Germany","email",56.06642,NA
"merkur.de",51.86,58,160,8,10,0.9099,"Germany","news_and_media",47.187414,NA
"focus.de",48.13,65,171,9,11,0.8579,"Germany","news_and_media",41.290727,NA
"zeit.de",45.45,64,173,10,12,0.8766,"Germany","news_and_media",39.84147,NA
"fr.de",38.89,82,247,11,13,0.9204,"Germany","news_and_media",35.794356,NA
"ndr.de",37.64,77,76,NA,14,0.9484,"Germany","tv_movies_streaming",35.697776,NA
"zdf.de",37.31,67,56,NA,15,0.9071,"Germany","tv_movies_streaming",33.843901,NA
"faz.net",33.81,94,282,12,16,0.839,"Germany","news_and_media",28.36659,NA
"watson.de",29.12,104,358,13,17,0.9433,"Germany","news_and_media",27.468896,NA
"rtl.de",29.75,86,84,NA,18,0.9013,"Germany","tv_movies_streaming",26.813675,NA
"msn.com",511,47,7,14,19,0.0497,"USA","news_and_media",25.3967,NA
"tagesspiegel.de",26.39,103,367,15,20,0.952,"Germany","news_and_media",25.12328,NA
"sueddeutsche.de",27.73,102,338,16,21,0.8953,"Germany","news_and_media",24.826669,NA
"ruhr24.de",24.24,113,410,17,22,0.9588,"Germany","news_and_media",23.241312,NA
"express.de",22.82,112,405,18,23,0.9773,"Germany","news_and_media",22.301986,NA
"tag24.de",19.65,121,454,19,24,0.9747,"Germany","news_and_media",19.152855,NA
"stern.de",21.75,139,442,20,25,0.8762,"Germany","news_and_media",19.05735,NA
"br.de",19.44,147,149,NA,26,0.9148,"Germany","tv_movies_streaming",17.783712,NA
"gala.de",20.67,135,411,21,27,0.8323,"Germany","news_and_media",17.203641,NA
"hna.de",17.2,141,499,22,28,0.969,"Germany","news_and_media",16.6668,NA
"taz.de",17.14,167,559,23,29,0.9451,"Germany","news_and_media",16.199014,NA
"morgenpost.de",17.01,163,542,24,30,0.9322,"Germany","news_and_media",15.856722,NA
"mopo.de",16.21,158,552,25,31,0.9714,"Germany","news_and_media",15.746394,NA
"mdr.de",16.27,174,189,NA,32,0.9561,"Germany","tv_movies_streaming",15.555747,NA
"derwesten.de",16.92,184,585,26,33,0.9115,"Germany","news_and_media",15.42258,NA
"news.google.com",325,96,14,27,34,0.0469,"USA","news_and_media",15.2425,NA
"finanzen.net",17.24,176,57,NA,35,0.8467,"Germany","investing",14.597108,NA
"rp-online.de",14.68,142,496,28,36,0.9583,"Germany","news_and_media",14.067844,NA
"bbc.com",504,109,11,29,37,0.026,"USA","news_and_media",13.104,NA
"schwaebische.de",13.6,198,669,30,38,0.9592,"Germany","news_and_media",13.04512,NA
"wdr.de",12.17,208,238,NA,39,0.9482,"Germany","tv_movies_streaming",11.539594,NA
"swr.de",12.5,218,248,NA,40,0.9211,"Germany","tv_movies_streaming",11.51375,NA
"wa.de",11.83,213,724,31,41,0.9658,"Germany","news_and_media",11.425414,NA
"nordkurier.de",11.39,226,779,32,42,0.9842,"Germany","news_and_media",11.210038,NA
"ksta.de",11.5,228,777,33,43,0.9741,"Germany","news_and_media",11.20215,NA
"bz-berlin.de",11.17,244,817,35,44,0.9747,"Germany","news_and_media",10.887399,NA
"berliner-zeitung.de",11.2,263,863,36,45,0.9642,"Germany","news_and_media",10.79904,NA
"bunte.de",12.06,243,754,37,46,0.8897,"Germany","news_and_media",10.729782,NA
"handelsblatt.com",11.54,258,408,NA,47,0.8829,"Germany","finance",10.188666,NA
"waz.de",10.14,253,840,38,48,0.9784,"Germany","news_and_media",9.920976,NA
"abendblatt.de",9.902,266,878,39,49,0.9677,"Germany","news_and_media",9.5821654,NA
"augsburger-allgemeine.de",9.029,282,937,40,50,0.9565,"Germany","news_and_media",8.6362385,NA
"tz.de",9.306,275,887,41,51,0.9251,"Germany","news_and_media",8.6089806,NA
"utpia.de",9.909,312,934,42,52,0.8626,"Germany","news_and_media",8.5475034,NA
"deutschlandfunk.de",9.111,328,1019,43,53,0.9312,"Germany","news_and_media",8.4841632,NA
"hessenschau.de",8.439,316,1028,44,54,0.9734,"Germany","news_and_media",8.2145226,NA
"presseportal.de",8.314,299,985,45,55,0.9733,"Germany","news_and_media",8.0920162,NA
"noz.de",7.643,294,994,46,56,0.9804,"Germany","news_and_media",7.4931972,NA
"swp.de",7.67,337,1074,47,57,0.9462,"Germany","news_and_media",7.257354,NA
"karlsruhe-insider.de",7.39,364,1155,48,58,0.9662,"Germany","news_and_media",7.140218,NA
"nw.de",6.891,349,1126,50,59,0.9842,"Germany","news_and_media",6.7821222,NA
"nordbayern.de",6.89,359,1158,51,60,0.9828,"Germany","news_and_media",6.771492,NA
